ID,親ID,区分名,開始年,終了年,備考
edo_s08,edo_s,徳川吉宗,1716,1751,将軍職1716-1745、大御所として〜1751
edo_s09,edo_s,徳川家重,1745,1760,
edo_s10,edo_s,徳川家治,1760,1786,
edo_s11,edo_s,徳川家斉,1787,1841,将軍職1787-1837、大御所として〜1841
edo_s12,edo_s,徳川家慶,1837,1853,
edo_s13,edo_s,徳川家定,1853,1858,
edo_s14,edo_s,徳川家茂,1858,1866,
edo_s15,edo_s,徳川慶喜,1866,1867,
edo_p01,edo_p,武断政治（家康〜家光）,1603,1651,
edo_p02,edo_p,文治政治（家綱・綱吉）,1651,1709,
edo_p03,edo_p,正徳の治,1709,1716,
edo_p04,edo_p,享保の改革,1716,1745,
edo_p05,edo_p,田沼時代,1767,1786,
edo_p06,edo_p,寛政の改革,1787,1793,
edo_p07,edo_p,大御所時代（文化・文政期）,1793,1841,
edo_p08,edo_p,天保の改革,1841,1843,
edo_p09,edo_p,阿部正弘の政治（安政の改革）,1845,1857,
edo_p10,edo_p,井伊直弼の政治,1858,1860,
edo_p11,edo_p,公武合体,1860,1864,
edo_p12,edo_p,幕末（倒幕へ）,1864,1867,
modern_00,modern,明治初期（内閣制度以前）,1868,1885,
meiji,modern,明治の内閣,1885,1912,
taisho,modern,大正の内閣,1912,1926,
showa1,modern,昭和戦前・戦中の内閣,1926,1945,
showa2,modern,昭和戦後の内閣,1945,1989,
heisei,modern,平成の内閣,1989,2019,
reiwa,modern,令和の内閣,2019,2100,
meiji_01,meiji,伊藤博文（第1次）内閣,1885,1888,
meiji_02,meiji,黒田清隆内閣,1888,1889,
meiji_03,meiji,山県有朋（第1次）内閣,1889,1891,
meiji_04,meiji,松方正義（第1次）内閣,1891,1892,
meiji_05,meiji,伊藤博文（第2次）内閣,1892,1896,
meiji_06,meiji,松方正義（第2次）内閣,1896,1898,
meiji_07,meiji,伊藤博文（第3次）内閣,1898,1898,
meiji_08,meiji,大隈重信（第1次・隈板内閣）内閣,1898,1898,
meiji_09,meiji,山県有朋（第2次）内閣,1898,1900,
meiji_10,meiji,伊藤博文（第4次）内閣,1900,1901,
meiji_11,meiji,桂太郎（第1次）内閣,1901,1906,
meiji_12,meiji,西園寺公望（第1次）内閣,1906,1908,
meiji_13,meiji,桂太郎（第2次）内閣,1908,1911,
meiji_14,meiji,西園寺公望（第2次）内閣,1911,1912,
taisho_01,taisho,桂太郎（第3次）内閣,1912,1913,
taisho_02,taisho,山本権兵衛（第1次）内閣,1913,1914,
taisho_03,taisho,大隈重信（第2次）内閣,1914,1916,
taisho_04,taisho,寺内正毅内閣,1916,1918,
taisho_05,taisho,原敬内閣,1918,1921,
taisho_06,taisho,高橋是清内閣,1921,1922,
taisho_07,taisho,加藤友三郎内閣,1922,1923,
taisho_08,taisho,山本権兵衛（第2次）内閣,1923,1924,
taisho_09,taisho,清浦奎吾内閣,1924,1924,
taisho_10,taisho,加藤高明内閣,1924,1926,
taisho_11,taisho,若槻礼次郎（第1次）内閣,1926,1927,
showa1_01,showa1,田中義一内閣,1927,1929,
showa1_02,showa1,浜口雄幸内閣,1929,1931,
showa1_03,showa1,若槻礼次郎（第2次）内閣,1931,1931,
showa1_04,showa1,犬養毅内閣,1931,1932,
showa1_05,showa1,斎藤実内閣,1932,1934,
showa1_06,showa1,岡田啓介内閣,1934,1936,
showa1_07,showa1,広田弘毅内閣,1936,1937,
showa1_08,showa1,林銑十郎内閣,1937,1937,
showa1_09,showa1,近衛文麿（第1次）内閣,1937,1939,
showa1_10,showa1,平沼騏一郎内閣,1939,1939,
showa1_11,showa1,阿部信行内閣,1939,1940,
showa1_12,showa1,米内光政内閣,1940,1940,
showa1_13,showa1,近衛文麿（第2次・第3次）内閣,1940,1941,
showa1_14,showa1,東条英機内閣,1941,1944,
showa1_15,showa1,小磯国昭内閣,1944,1945,
showa1_16,showa1,鈴木貫太郎内閣,1945,1945,
showa2_01,showa2,東久邇宮稔彦内閣,1945,1945,
showa2_02,showa2,幣原喜重郎内閣,1945,1946,
showa2_03,showa2,吉田茂（第1次）内閣,1946,1947,
showa2_04,showa2,片山哲内閣,1947,1948,
showa2_05,showa2,芦田均内閣,1948,1948,
showa2_06,showa2,吉田茂（第2〜5次）内閣,1948,1954,
showa2_07,showa2,鳩山一郎内閣,1954,1956,
showa2_08,showa2,石橋湛山内閣,1956,1957,
showa2_09,showa2,岸信介内閣,1957,1960,
showa2_10,showa2,池田勇人内閣,1960,1964,
showa2_11,showa2,佐藤栄作内閣,1964,1972,
showa2_12,showa2,田中角栄内閣,1972,1974,
showa2_13,showa2,三木武夫内閣,1974,1976,
showa2_14,showa2,福田赳夫内閣,1976,1978,
showa2_15,showa2,大平正芳内閣,1978,1980,
showa2_16,showa2,鈴木善幸内閣,1980,1982,
showa2_17,showa2,中曽根康弘内閣,1982,1987,
showa2_18,showa2,竹下登内閣,1987,1989,
heisei_01,heisei,宇野宗佑内閣,1989,1989,
heisei_02,heisei,海部俊樹内閣,1989,1991,
heisei_03,heisei,宮沢喜一内閣,1991,1993,
heisei_04,heisei,細川護熙内閣,1993,1994,
heisei_05,heisei,羽田孜内閣,1994,1994,
heisei_06,heisei,村山富市内閣,1994,1996,
heisei_07,heisei,橋本龍太郎内閣,1996,1998,
heisei_08,heisei,小渕恵三内閣,1998,2000,
heisei_09,heisei,森喜朗内閣,2000,2001,
heisei_10,heisei,小泉純一郎内閣,2001,2006,
heisei_11,heisei,安倍晋三（第1次）内閣,2006,2007,
heisei_12,heisei,福田康夫内閣,2007,2008,
heisei_13,heisei,麻生太郎内閣,2008,2009,
heisei_14,heisei,鳩山由紀夫内閣,2009,2010,
heisei_15,heisei,菅直人内閣,2010,2011,
heisei_16,heisei,野田佳彦内閣,2011,2012,
heisei_17,heisei,安倍晋三（第2〜4次）内閣,2012,2020,
reiwa_01,reiwa,菅義偉内閣,2020,2021,
reiwa_02,reiwa,岸田文雄内閣,2021,2024,
reiwa_03,reiwa,石破茂内閣,2024,2025,
reiwa_04,reiwa,高市早苗内閣,2025,2100,終了年2100＝現在も継続
