用語,読み,ページ,種類,分野,国,立場,開始年,終了年,時代,メモ
足利基氏,足(あし)利(かが)基(もと)氏(うじ),115,人物,政治・政策,日本,武家,1349,1367,,
足利義昭,足(あし)利(かが)義(よし)昭(あき),140,人物,政治・政策,日本,武家,1568,1573,,
足利義勝,足(あし)利(かが)義(よし)勝(かつ),121,人物,政治・政策,日本,武家,1442,1443,,
足利義輝,足(あし)利(かが)義(よし)輝(てる),140,人物,政治・政策,日本,武家,1546,1565,,
足利義教,足(あし)利(かが)義(よし)教(のり),116;120,人物,政治・政策,日本,武家,1429,1441,,
足利義尚,足(あし)利(かが)義(よし)尚(ひさ),121,人物,政治・政策,日本,武家,1467,1489,,
足利義政,足(あし)利(かが)義(よし)政(まさ),121,人物,政治・政策,日本,武家,1449,1490,,
足利義視,足(あし)利(かが)義(よし)視(み),121,人物,政変・事件・反乱,日本,武家,1464,1491,,
足利義満,足(あし)利(かが)義(よし)満(みつ),114;116,人物,政治・政策;対外関係,日本,武家,1368,1408,,
足利義持,足(あし)利(かが)義(よし)持(もち),116;120,人物,政治・政策,日本,武家,1394,1428,,
足軽,足(あし)軽(がる),121,その他,戦争・軍事,,,1467,1600,,
芦田均,芦(あし)田(だ)均(ひとし),333,人物,政治・政策,日本,政治家,1948,1948,,
阿修羅像,阿(あ)修(しゅ)羅(ら)像(ぞう),53,作品,美術・建築;仏教,,,734,734,,
飛鳥浄御原宮,飛鳥(あすか)浄(きよ)御(み)原(はら)宮(のみや),38,寺社・遺跡・場所,政治・政策,,,672,694,,
飛鳥浄御原令,飛鳥(あすか)浄(きよ)御(み)原(はら)令(りょう),38,法令・政策,法制・制度,,,689,689,,
飛鳥寺,飛鳥(あすか)寺(でら),35,寺社・遺跡・場所,仏教;美術・建築,,,588,596,,
飛鳥文化,飛鳥(あすか)文(ぶん)化(か),35,文化・流派,仏教;美術・建築,,,593,645,,
預所,預(あずかり)所(どころ),71,制度・役職,土地・税制,,,,,平安;鎌倉,
東歌,東(あずま)歌(うた),51,作品,文学,,,759,759,,
吾妻鏡,吾妻(あずま)鏡(かがみ),107,書物・史料,思想・学問,,,1300,1300,,
麻生太郎,麻(あ)生(そう)太(た)郎(ろう),363,人物,政治・政策,日本,政治家,2008,2009,,
直,直(あたい),31,制度・役職,身分・社会構造,,,,,古墳,
安達泰盛,安(あ)達(だち)泰(やす)盛(もり),100,人物,政変・事件・反乱,日本,武家,1275,1285,,
阿知使主,阿(あ)知(ち)使主(のおみ),27,人物,対外関係,その他,渡来人,,,古墳,
安土城,安(あ)土(づち)城(じょう),141,寺社・遺跡・場所,美術・建築;政治・政策,,,1576,1582,,
阿弖流為,阿(あ)弖(て)流(る)為(い),56,人物,北方・アイヌ;戦争・軍事,日本,その他,789,802,,
アニミズム,アニミズム,12,その他,思想・学問,,,,,縄文,
安部磯雄,安(あ)部(べ)磯(いそ)雄(お),265,人物,社会運動,日本,社会運動家,1901,1932,,
安倍晋三,安(あ)倍(べ)晋(しん)三(ぞう),363,人物,政治・政策,日本,政治家,2006,2020,,
阿倍内麻呂,阿(あ)倍(べの)内(うち)麻(ま)呂(ろ),37,人物,政治・政策,日本,公家・貴族,645,649,,
阿倍比羅夫,阿(あ)倍(べの)比(ひ)羅(ら)夫(ふ),45,人物,戦争・軍事;北方・アイヌ,日本,軍人,658,663,,
阿部信行,阿(あ)部(べ)信(のぶ)行(ゆき),316,人物,政治・政策,日本,政治家;軍人,1939,1940,,
阿部正弘,阿(あ)部(べ)正(まさ)弘(ひろ),222,人物,政治・政策;対外関係,日本,武家,1845,1857,,
アヘン戦争,アヘン戦(せん)争(そう),221,事件・戦争・乱,対外関係;戦争・軍事,,,1840,1842,,
天草四郎,天(あま)草(くさ)四(し)郎(ろう),159,人物,キリスト教;一揆・打ちこわし,日本,その他,1637,1638,,
天草版,天(あま)草(くさ)版(ばん),149,書物・史料,キリスト教;文学,,,1591,1600,,
網漁,網(あみ)漁(りょう),173,その他,農林漁業,,,,,江戸,
アメリカ教育使節団,アメリカ教(きょう)育(いく)使(し)節(せつ)団(だん),329,組織・団体・政党,教育,,,1946,1946,,
アメリカ軍基地反対闘争,アメリカ軍(ぐん)基(き)地(ち)反(はん)対(たい)闘(とう)争(そう),341,事件・戦争・乱,社会運動,,,1952,1957,,
新井白石,新(あら)井(い)白(はく)石(せき),178;189;198,人物,政治・政策;思想・学問,日本,学者・思想家,1709,1716,,
荒事,荒(あら)事(ごと),188,文化・流派,芸能,,,1680,1710,,
アラブ石油輸出国機構,アラブ石(せき)油(ゆ)輸(ゆ)出(しゅつ)国(こく)機(き)構(こう),354,組織・団体・政党,対外関係;産業・工業,,,1968,1973,,
アララギ,アララギ,291,書物・史料,文学,,,1908,1908,,
有島武郎,有(あり)島(しま)武(たけ)郎(お),298,人物,文学,日本,文学者,1910,1923,,
有田焼,有(あり)田(た)焼(やき),166,文化・流派,美術・建築;産業・工業,,,1616,1700,,
有馬晴信,有(あり)馬(ま)晴(はる)信(のぶ),139;149,人物,キリスト教;対外関係,日本,武家,1580,1612,,
鞍山製鉄所,鞍(あん)山(ざん)製(せい)鉄(てつ)所(じょ),295,寺社・遺跡・場所,産業・工業;植民地,,,1918,1918,,
安重根,安(あん)重(じゅう)根(こん),264,人物,植民地,朝鮮,社会運動家,1909,1909,,
安政の改革,安(あん)政(せい)の改(かい)革(かく),222,法令・政策,政治・政策,,,1854,1857,,
安政の五カ国条約,安(あん)政(せい)の五(ご)カ国(こく)条(じょう)約(やく),223,条約・協定・会議,対外関係;条約・会議,,,1858,1858,,
安政の大獄,安(あん)政(せい)の大(たい)獄(ごく),224,事件・戦争・乱,政変・事件・反乱,,,1858,1859,,
安全保障理事会,安(あん)全(ぜん)保(ほ)障(しょう)理(り)事(じ)会(かい),325,組織・団体・政党,対外関係,,,1945,1945,,
安帝,安(あん)帝(てい),18,人物,対外関係,中国,国王・皇帝（外国）,107,107,,
安藤（安東）氏,安(あん)藤(どう)（安(あん)東(どう)）氏(し),118,人物,北方・アイヌ;商業・流通・都市,日本,武家,1200,1450,,
安藤昌益,安(あん)藤(どう)昌(しょう)益(えき),200,人物,思想・学問,日本,学者・思想家,1750,1762,,
安藤信正,安(あん)藤(どう)信(のぶ)正(まさ),224,人物,政治・政策,日本,武家,1860,1862,,
安徳天皇,安(あん)徳(とく)天(てん)皇(のう),82,人物,政治・政策,日本,天皇・皇族,1180,1185,,
安和の変,安(あん)和(な)の変(へん),63,事件・戦争・乱,政変・事件・反乱,,,969,969,,
安保闘争,安(あん)保(ぽ)闘(とう)争(そう),342,事件・戦争・乱,社会運動;対外関係,,,1960,1960,,
井伊直弼,井(い)伊(い)直(なお)弼(すけ),222;224,人物,政治・政策;対外関係,日本,武家,1858,1860,,
イエズス会,イエズス会(かい),139,組織・団体・政党,キリスト教,,,1549,1600,,
家子,家(いえの)子(こ),73,その他,身分・社会構造;戦争・軍事,,,,,平安,
家持,家(いえ)持(もち),171,その他,身分・社会構造;商業・流通・都市,,,,,江戸,
伊賀惣国一揆,伊(い)賀(が)惣(そう)国(こく)一(いっ)揆(き),122,組織・団体・政党,一揆・打ちこわし,,,1560,1581,,
斑鳩寺,斑鳩(いかるが)寺(でら),36,寺社・遺跡・場所,仏教;美術・建築,,,607,607,,
衣冠,衣(い)冠(かん),69,その他,生活・風俗,,,,,平安,
生きてゐる兵隊,生(い)きてゐる兵(へい)隊(たい),316,書物・史料,文学,,,1938,1938,,
イギリス公使館焼打ち事件,イギリス公(こう)使(し)館(かん)焼(やき)打(う)ち事(じ)件(けん),224,事件・戦争・乱,対外関係;政変・事件・反乱,,,1862,1862,,
生田万の乱,生(いく)田(た)万(よろず)の乱(らん),209,事件・戦争・乱,政変・事件・反乱;一揆・打ちこわし,,,1837,1837,,
生野銀山,生(いく)野(の)銀(ぎん)山(ざん),175,寺社・遺跡・場所,産業・工業,,,,,戦国;江戸,
生野の変,生(いく)野(の)の変(へん),225,事件・戦争・乱,政変・事件・反乱,,,1863,1863,,
池貝鉄工所,池(いけ)貝(がい)鉄(てっ)工(こう)所(じょ),284,組織・団体・政党,産業・工業,,,1889,1889,,
池田勇人,池(いけ)田(だ)勇(はや)人(と),343,人物,政治・政策,日本,政治家,1960,1964,,
池田光政,池(いけ)田(だ)光(みつ)政(まさ),177;200,人物,政治・政策;教育,日本,武家,1650,1682,,
池田屋事件,池(いけ)田(だ)屋(や)事(じ)件(けん),226,事件・戦争・乱,政変・事件・反乱,,,1864,1864,,
池大雅,池(いけの)大(たい)雅(が),203,人物,美術・建築,日本,芸術家,1750,1776,,
池坊専応,池(いけの)坊(ぼう)専(せん)応(のう),129,人物,芸能,日本,芸術家,1530,1543,,
池坊専慶,池(いけの)坊(ぼう)専(せん)慶(けい),129,人物,芸能,日本,芸術家,1462,1462,,
池坊専好,池(いけの)坊(ぼう)専(せん)好(こう),129,人物,芸能,日本,芸術家,1590,1621,,
生花,生(いけ)花(ばな),128,文化・流派,芸能,,,1450,1600,,
異国警固番役,異(い)国(こく)警(けい)固(ご)番(ばん)役(やく),100,制度・役職,対外関係;戦争・軍事,,,1275,1333,,
異国船打払令,異(い)国(こく)船(せん)打(うち)払(はらい)令(れい),207,法令・政策,対外関係,,,1825,1842,,
いざなぎ景気,いざなぎ景(けい)気(き),346,その他,産業・工業,,,1966,1970,,
伊沢修二,伊(い)沢(さわ)修(しゅう)二(じ),291,人物,教育;芸能,日本,学者・思想家,1879,1890,,
胆沢城,胆(い)沢(さわ)城(じょう),56,寺社・遺跡・場所,北方・アイヌ;戦争・軍事,,,802,802,,
石井・ランシング協定,石(いし)井(い)・ランシング協(きょう)定(てい),270;274,条約・協定・会議,対外関係;条約・会議,,,1917,1923,,
石川啄木,石(いし)川(かわ)啄(たく)木(ぼく),291,人物,文学,日本,文学者,1905,1912,,
石川達三,石(いし)川(かわ)達(たつ)三(ぞう),316,人物,文学,日本,文学者,1935,1945,,
石川雅望,石(いし)川(かわ)雅(まさ)望(もち),201,人物,文学,日本,文学者,1780,1830,,
石田梅岩,石(いし)田(だ)梅(ばい)岩(がん),199,人物,思想・学問,日本,学者・思想家,1729,1744,,
石田三成,石(いし)田(だ)三(みつ)成(なり),154,人物,政治・政策;戦争・軍事,日本,武家,1585,1600,,
石橋湛山,石(いし)橋(ばし)湛(たん)山(ざん),298;341,人物,政治・政策;思想・学問,日本,政治家,1920,1957,,
石包丁,石(いし)包(ぼう)丁(ちょう),14,その他,考古;農林漁業,,,,,弥生,
石山合戦（石山戦争）,石(いし)山(やま)合(かっ)戦(せん)（石(いし)山(やま)戦(せん)争(そう)）,141,事件・戦争・乱,戦争・軍事;仏教,,,1570,1580,,
石原莞爾,石(いし)原(わら)莞(かん)爾(じ),305,人物,戦争・軍事,日本,軍人,1931,1937,,
泉鏡花,泉(いずみ)鏡(きょう)花(か),291,人物,文学,日本,文学者,1895,1939,,
出雲お国（阿国）,出(いず)雲(も)お国(くに)（阿(お)国(くに)）,148,人物,芸能,日本,芸術家,1603,1607,,
伊勢神宮,伊(い)勢(せ)神(じん)宮(ぐう),38,寺社・遺跡・場所,神道,,,,,古墳;飛鳥,
伊勢神道,伊(い)勢(せ)神(しん)道(とう),106,文化・流派,神道,,,1300,1333,,
伊勢宗瑞,伊(い)勢(せ)宗(そう)瑞(ずい),132,人物,戦争・軍事,日本,武家,1493,1519,,北条早雲のこと
伊勢平氏,伊(い)勢(せ)平(へい)氏(し),80,人物,戦争・軍事,日本,武家,1000,1185,,
伊勢物語,伊(い)勢(せ)物(もの)語(がたり),65,書物・史料,文学,,,900,950,,
石上宅嗣,石(いそ)上(のかみの)宅(やか)嗣(つぐ),51,人物,思想・学問;教育,日本,公家・貴族,770,781,,
イタイイタイ病,イタイイタイ病(びょう),352,事件・戦争・乱,公害・環境・災害,,,1955,1968,,
板垣退助,板(いた)垣(がき)退(たい)助(すけ),245;246,人物,政治・政策;社会運動,日本,政治家,1874,1900,,
板付遺跡,板(いた)付(づけ)遺(い)跡(せき),13,寺社・遺跡・場所,考古;農林漁業,,,,,縄文;弥生,
市,市(いち),43,その他,商業・流通・都市,,,,,奈良,
市川左団次（初代）,市(いち)川(かわ)左(さ)団(だん)次(じ)（初(しょ)代(だい)）,291,人物,芸能,日本,芸術家,1880,1904,,
市川団十郎（初代）,市(いち)川(かわ)団(だん)十(じゅう)郎(ろう)（初(しょ)代(だい)）,188,人物,芸能,日本,芸術家,1673,1704,,
市川団十郎（7代目）,市(いち)川(かわ)団(だん)十(じゅう)郎(ろう)（7代(だい)目(め)）,217,人物,芸能,日本,芸術家,1800,1840,,
市川団十郎（9代目）,市(いち)川(かわ)団(だん)十(じゅう)郎(ろう)（9代(だい)目(め)）,291,人物,芸能,日本,芸術家,1870,1903,,
市川房枝,市(いち)川(かわ)房(ふさ)枝(え),276,人物,女性;社会運動,日本,社会運動家,1920,1945,,
一期分,一(いち)期(ご)分(ぶん),103,制度・役職,土地・税制;身分・社会構造,,,1250,1333,,
市座,市(いち)座(ざ),135,制度・役職,商業・流通・都市,,,,,戦国,
一条兼良,一(いち)条(じょう)兼(かね)良(よし),129,人物,思想・学問,日本,公家・貴族,1450,1481,,かねら とも読む
一の谷の戦い,一(いち)の谷(たに)の戦(たたか)い,91,事件・戦争・乱,戦争・軍事,,,1184,1184,,
市司,市(いちの)司(つかさ),43,制度・役職,商業・流通・都市,,,,,奈良,
一木造,一(いち)木(ぼく)造(づくり),60,文化・流派,美術・建築;仏教,,,800,900,,
一味同心,一(いち)味(み)同(どう)心(しん),114,その他,一揆・打ちこわし,,,,,室町,
一門・一家,一(いち)門(もん)・一(いっ)家(け),97,その他,身分・社会構造,,,,,鎌倉,
一里塚,一(いち)里(り)塚(づか),182,その他,商業・流通・都市,,,1604,1604,,
一揆,一(いっ)揆(き),113;120;240,その他,一揆・打ちこわし,,,,,室町;戦国;江戸;明治,
一休宗純,一(いっ)休(きゅう)宗(そう)純(じゅん),131,人物,仏教,日本,僧侶・宗教家,1420,1481,,
厳島神社,厳(いつく)島(しま)神(じん)社(じゃ),84,寺社・遺跡・場所,神道;美術・建築,,,1168,1168,,
一向一揆,一(いっ)向(こう)一(いっ)揆(き),132;141,事件・戦争・乱,一揆・打ちこわし;仏教,,,1488,1580,,
一向宗,一(いっ)向(こう)宗(しゅう),104,文化・流派,仏教,,,,,鎌倉;室町;戦国,
一国一城令,一(いっ)国(こく)一(いち)城(じょう)令(れい),155,法令・政策,政治・政策,,,1615,1615,,
乙巳の変,乙(いっ)巳(し)の変(へん),37,事件・戦争・乱,政変・事件・反乱,,,645,645,,
一世一元の制,一(いっ)世(せい)一(いち)元(げん)の制(せい),229,法令・政策,法制・制度,,,1868,1868,,
一地一作人,一(いっ)地(ち)一(いっ)作(さく)人(にん),143,制度・役職,土地・税制,,,1582,1598,,
一中節,一(いっ)中(ちゅう)節(ぶし),202,文化・流派,芸能,,,,,江戸,
一遍,一(いっ)遍(ぺん),105,人物,仏教,日本,僧侶・宗教家,1274,1289,,
一遍上人絵伝,一(いっ)遍(ぺん)上(しょう)人(にん)絵(え)伝(でん),87;102;109,作品,美術・建築;仏教,,,1299,1299,,
伊藤左千夫,伊(い)藤(とう)左(さ)千(ち)夫(お),291,人物,文学,日本,文学者,1900,1913,,
伊藤仁斎,伊(い)藤(とう)仁(じん)斎(さい),189,人物,思想・学問,日本,学者・思想家,1662,1705,,
伊藤博文,伊(い)藤(とう)博(ひろ)文(ぶみ),224;248;252;255;258;261;263,人物,政治・政策;対外関係;植民地,日本,政治家,1863,1909,,
伊東マンショ,伊(い)東(とう)マンショ,148,人物,キリスト教;対外関係,日本,その他,1582,1590,,
伊東巳代治,伊(い)東(とう)巳(み)代(よ)治(じ),252,人物,法制・制度,日本,政治家,1886,1889,,
糸割符制度,糸(いと)割(わっ)符(ぷ)制(せい)度(ど),160,制度・役職,対外関係;商業・流通・都市,,,1604,1604,,
糸割符仲間,糸(いと)割(わっ)符(ぷ)仲(なか)間(ま),160,組織・団体・政党,対外関係;商業・流通・都市,,,1604,1604,,
稲作,稲(いな)作(さく),13,その他,農林漁業,,,,,縄文;弥生,
稲村三伯,稲(いな)村(むら)三(さん)伯(ぱく),198,人物,思想・学問,日本,学者・思想家,1796,1796,,
稲荷山古墳出土鉄剣銘文,稲(いな)荷(り)山(やま)古(こ)墳(ふん)出(しゅつ)土(ど)鉄(てっ)剣(けん)銘(めい)文(ぶん),21;27;31,書物・史料,考古,,,471,471,,
犬追物,犬(いぬ)追(おう)物(もの),98,その他,戦争・軍事;生活・風俗,,,,,鎌倉,
犬養毅,犬(いぬ)養(かい)毅(つよし),267;306,人物,政治・政策,日本,政治家,1890,1932,,
犬上御田鍬,犬(いぬ)上(かみの)御(み)田(た)鍬(すき),34,人物,対外関係,日本,公家・貴族,614,630,,
犬筑波集,犬(いぬ)筑(つ)波(くば)集(しゅう),130,書物・史料,文学,,,1530,1540,,
井上馨,井(いの)上(うえ)馨(かおる),224;251;256,人物,政治・政策;対外関係,日本,政治家,1863,1915,,
井上毅,井(いの)上(うえ)毅(こわし),252,人物,法制・制度,日本,政治家,1880,1895,,
井上準之助,井(いの)上(うえ)準(じゅん)之(の)助(すけ),303,人物,貨幣・金融;政治・政策,日本,政治家,1929,1932,,
井上日召,井(いの)上(うえ)日(にっ)召(しょう),306,人物,政変・事件・反乱,日本,僧侶・宗教家,1932,1932,,
伊能忠敬,伊(い)能(のう)忠(ただ)敬(たか),215,人物,思想・学問,日本,学者・思想家,1800,1818,,
井原西鶴,井(い)原(はら)西(さい)鶴(かく),151;188,人物,文学,日本,文学者,1682,1693,,
今井宗久,今(いま)井(い)宗(そう)久(きゅう),148,人物,商業・流通・都市;芸能,日本,実業家,1568,1593,,
今鏡,今(いま)鏡(かがみ),83,書物・史料,文学,,,1170,1170,,
今川義元,今(いま)川(がわ)義(よし)元(もと),140,人物,戦争・軍事,日本,武家,1536,1560,,
今川了俊（貞世）,今(いま)川(がわ)了(りょう)俊(しゅん)（貞(さだ)世(よ)）,114,人物,政治・政策;戦争・軍事,日本,武家,1371,1395,,
今様,今(いま)様(よう),83,文化・流派,芸能,,,1150,1200,,
斎蔵,斎(いみ)蔵(くら),33,制度・役職,政治・政策,,,,,古墳,
壱与,壱(い)与(よ),18,人物,対外関係,日本,その他,266,266,,
入浜塩田,入(いり)浜(はま)塩(えん)田(でん),181,その他,産業・工業,,,,,江戸,
色絵,色(いろ)絵(え),191,文化・流派,美術・建築,,,1650,1700,,
磐井の乱,磐(いわ)井(い)の乱(らん),21;32,事件・戦争・乱,政変・事件・反乱,,,527,528,,
岩倉使節団,岩(いわ)倉(くら)使(し)節(せつ)団(だん),237;244,組織・団体・政党,対外関係,,,1871,1873,,
岩倉具視,岩(いわ)倉(くら)具(とも)視(み),227,人物,政治・政策,日本,公家・貴族;政治家,1862,1883,,
岩崎弥太郎,岩(いわ)崎(さき)弥(や)太(た)郎(ろう),241,人物,産業・工業,日本,実業家,1870,1885,,
石清水八幡宮,石(いわ)清(し)水(みず)八(はち)幡(まん)宮(ぐう),124,寺社・遺跡・場所,神道;商業・流通・都市,,,,,平安;室町,
岩宿遺跡,岩(いわ)宿(じゅく)遺(い)跡(せき),8,寺社・遺跡・場所,考古,,,,,旧石器,
岩戸景気,岩(いわ)戸(と)景(けい)気(き),346,その他,産業・工業,,,1958,1961,,
磐舟柵,磐(いわ)舟(ふねの)柵(さく),44,寺社・遺跡・場所,北方・アイヌ,,,648,648,,
石見銀山,石(いわ)見(み)銀(ぎん)山(ざん),138,寺社・遺跡・場所,産業・工業;対外関係,,,1526,1700,,
院,院(いん),77,制度・役職,政治・政策,,,1086,1185,,
院宮王臣家,院(いん)宮(ぐう)王(おう)臣(しん)家(け),58,その他,身分・社会構造;土地・税制,,,800,900,,
隠元隆琦,隠(いん)元(げん)隆(りゅう)琦(き),160,人物,仏教,中国,僧侶・宗教家;来日外国人,1654,1673,,
院政,院(いん)政(せい),78;95,制度・役職,政治・政策,,,1086,1192,,
院宣,院(いん)宣(ぜん),78,制度・役職,政治・政策,,,1086,1300,,
院展,院(いん)展(てん),299,その他,美術・建築,,,1914,1914,,
院近臣,院(いんの)近(きん)臣(しん),80,制度・役職,政治・政策,,,1086,1185,,
院庁,院(いんの)庁(ちょう),77,制度・役職,政治・政策,,,1086,1185,,
院庁下文,院(いんの)庁(ちょう)下(くだし)文(ぶみ),78,書物・史料,政治・政策,,,1086,1185,,
院評定衆,院(いんの)評(ひょう)定(じょう)衆(しゅう),97,制度・役職,政治・政策,,,1246,1272,,
印旛沼干拓,印(いん)旛(ば)沼(ぬま)干(かん)拓(たく),197;210,法令・政策,農林漁業;政治・政策,,,1782,1843,,田沼時代と天保の改革の2回
院分国,院(いん)分(ぶん)国(こく),79,制度・役職,土地・税制,,,1086,1185,,
陰陽五行説,陰(いん)陽(よう)五(ご)行(ぎょう)説(せつ),67,文化・流派,思想・学問,,,,,飛鳥;奈良;平安,
ヴァリニャーノ,ヴァリニャーノ,149,人物,キリスト教,イタリア,僧侶・宗教家;来日外国人,1579,1590,,
ウィッテ,ウィッテ,263,人物,対外関係,ロシア・ソ連,政治家,1905,1905,,
ウィリアム＝アダムズ,ウィリアム＝アダムズ,160,人物,対外関係,イギリス,来日外国人,1600,1620,,
右院,右(う)院(いん),237,制度・役職,法制・制度,,,1871,1877,,
植木枝盛,植(うえ)木(き)枝(え)盛(もり),249,人物,社会運動;法制・制度,日本,社会運動家,1880,1890,,
上杉景勝,上(うえ)杉(すぎ)景(かげ)勝(かつ),154,人物,戦争・軍事,日本,武家,1590,1600,,
上杉謙信,上(うえ)杉(すぎ)謙(けん)信(しん),133,人物,戦争・軍事,日本,武家,1550,1578,,
上杉慎吉,上(うえ)杉(すぎ)慎(しん)吉(きち),309,人物,思想・学問;法制・制度,日本,学者・思想家,1912,1929,,
上杉憲実,上(うえ)杉(すぎ)憲(のり)実(ざね),131,人物,教育;政治・政策,日本,武家,1419,1449,,
上杉治憲,上(うえ)杉(すぎ)治(はる)憲(のり),206,人物,政治・政策,日本,武家,1767,1822,,上杉鷹山
上田秋成,上(うえ)田(だ)秋(あき)成(なり),201,人物,文学,日本,文学者,1768,1809,,
上原勇作,上(うえ)原(はら)勇(ゆう)作(さく),267,人物,戦争・軍事,日本,軍人,1912,1912,,
ヴェルサイユ条約,ヴェルサイユ条(じょう)約(やく),272,条約・協定・会議,条約・会議;対外関係,,,1919,1919,,
ヴェルサイユ体制,ヴェルサイユ体(たい)制(せい),272;311,その他,対外関係,,,1919,1936,,
宇垣一成,宇(う)垣(がき)一(かず)成(しげ),310,人物,戦争・軍事;政治・政策,日本,軍人,1924,1937,,
浮雲,浮(うき)雲(ぐも),290,書物・史料,文学,,,1887,1889,,
右京職,右(う)京(きょう)職(しき),39,制度・役職,法制・制度,,,,,奈良;平安,
